Email	Name	AYTerm	MainRole
Jovani@smu.edu.sg	HSBCL	2014_2	System Architect
Malcolm@smu.edu.sg	HSBCL	2014_2	Chief Engineer
Aaliyah@smu.edu.sg	IDMH	2013_1	Project Manager
Alycia@smu.edu.sg	IDMH	2013_1	Creative Designer
Devon@smu.edu.sg	IDMH	2013_1	Quality Assurance
Jaydon@smu.edu.sg	IDMH	2013_1	System Architect
Junior@smu.edu.sg	IDMH	2013_1	Chief Engineer
Adrianna@smu.edu.sg	ISETAN	2013_1	Project Manager
Amina@smu.edu.sg	ISETAN	2013_1	Creative Designer
Edith@smu.edu.sg	ISETAN	2013_1	Quality Assurance
Jermaine@smu.edu.sg	ISETAN	2013_1	System Architect
Kamron@smu.edu.sg	ISETAN	2013_1	Chief Engineer
Alexys@smu.edu.sg	JCBL	2014_1	Project Manager
Annabel@smu.edu.sg	JCBL	2014_1	Creative Designer
Joy@smu.edu.sg	JCBL	2014_1	Quality Assurance
Jorden@smu.edu.sg	JCBL	2014_1	System Architect
Irving@smu.edu.sg	JCBL	2014_1	Chief Engineer
Aimee@smu.edu.sg	JLRTPC	2013_2	Project Manager
Amya@smu.edu.sg	JLRTPC	2013_2	Creative Designer
Elaine@smu.edu.sg	JLRTPC	2013_2	Quality Assurance
Jesse@smu.edu.sg	JLRTPC	2013_2	System Architect
Karl@smu.edu.sg	JLRTPC	2013_2	Chief Engineer
Alena@smu.edu.sg	JMI	2013_2	Project Manager
Angelique@smu.edu.sg	JMI	2013_2	Creative Designer
Johana@smu.edu.sg	JMI	2013_2	Quality Assurance
Johnathan@smu.edu.sg	JMI	2013_2	System Architect
Hudson@smu.edu.sg	JMI	2013_2	Chief Engineer
Abby@smu.edu.sg	LGF	2013_1	Project Manager
Amanda@smu.edu.sg	LGF	2013_1	Creative Designer
Dianna@smu.edu.sg	LGF	2013_1	Quality Assurance
Jayson@smu.edu.sg	LGF	2013_1	System Architect
Kade@smu.edu.sg	LGF	2013_1	Chief Engineer
Adrienne@smu.edu.sg	MAI	2013_1	Project Manager
Amira@smu.edu.sg	MAI	2013_1	Creative Designer
Eileen@smu.edu.sg	MAI	2013_1	Quality Assurance
Jerome@smu.edu.sg	MAI	2013_1	System Architect
Kane@smu.edu.sg	MAI	2013_1	Chief Engineer
Allie@smu.edu.sg	MASTER	2014_2	Project Manager
Desirae@smu.edu.sg	MASTER	2014_2	Creative Designer
Kaela@smu.edu.sg	MASTER	2014_2	Quality Assurance
Juan@smu.edu.sg	MASTER	2014_2	System Architect
Manuel@smu.edu.sg	MASTER	2014_2	Chief Engineer
Alisha@smu.edu.sg	MBL	2014_2	Project Manager
Annie@smu.edu.sg	MBL	2014_2	Creative Designer
Julianne@smu.edu.sg	MBL	2014_2	Quality Assurance
Joseph@smu.edu.sg	MBL	2014_2	System Architect
Luciano@smu.edu.sg	MBL	2014_2	Chief Engineer
Alia@smu.edu.sg	NTUCI	2014_1	Project Manager
Annabella@smu.edu.sg	NTUCI	2014_1	Creative Designer
Joyce@smu.edu.sg	NTUCI	2014_1	Quality Assurance
Jordon@smu.edu.sg	NTUCI	2014_1	System Architect
Isaac@smu.edu.sg	NTUCI	2014_1	Chief Engineer
Ally@smu.edu.sg	NTUCIL	2014_2	Project Manager
Destinee@smu.edu.sg	NTUCIL	2014_2	Creative Designer
Kaia@smu.edu.sg	NTUCIL	2014_2	Quality Assurance
Jude@smu.edu.sg	NTUCIL	2014_2	System Architect
Marcel@smu.edu.sg	NTUCIL	2014_2	Chief Engineer
Alexa@smu.edu.sg	NUSL	2014_1	Project Manager
Anissa@smu.edu.sg	NUSL	2014_1	Creative Designer
Jordan@smu.edu.sg	NUSL	2014_1	Quality Assurance
Jon@smu.edu.sg	NUSL	2014_1	System Architect
Humberto@smu.edu.sg	NUSL	2014_1	Chief Engineer
Akira@smu.edu.sg	OCBCL	2013_2	Project Manager
Anastasia@smu.edu.sg	OCBCL	2013_2	Creative Designer
Elisabeth@smu.edu.sg	OCBCL	2013_2	Quality Assurance
Jimmy@smu.edu.sg	OCBCL	2013_2	System Architect
Heath@smu.edu.sg	OCBCL	2013_2	Chief Engineer
Adriana@smu.edu.sg	PI	2013_1	Project Manager
America@smu.edu.sg	PI	2013_1	Creative Designer
Eden@smu.edu.sg	PI	2013_1	Quality Assurance
Jeremy@smu.edu.sg	PI	2013_1	System Architect
Kameron@smu.edu.sg	PI	2013_1	Chief Engineer
Abigayle@smu.edu.sg	PLAB	2013_1	Project Manager
Amari@smu.edu.sg	PLAB	2013_1	Creative Designer
Dorothy@smu.edu.sg	PLAB	2013_1	Quality Assurance
Jefferson@smu.edu.sg	PLAB	2013_1	System Architect
Kai@smu.edu.sg	PLAB	2013_1	Chief Engineer
Alicia@smu.edu.sg	POI	2014_1	Project Manager
Annalise@smu.edu.sg	POI	2014_1	Creative Designer
Julia@smu.edu.sg	POI	2014_1	Quality Assurance
Jorge@smu.edu.sg	POI	2014_1	System Architect
Luc@smu.edu.sg	POI	2014_1	Chief Engineer
Alize@smu.edu.sg	POSBL	2014_2	Project Manager
Denisse@smu.edu.sg	POSBL	2014_2	Creative Designer
Kacie@smu.edu.sg	POSBL	2014_2	Quality Assurance
Jovany@smu.edu.sg	POSBL	2014_2	System Architect
Malik@smu.edu.sg	POSBL	2014_2	Chief Engineer
Alexis@smu.edu.sg	RHBL	2014_1	Project Manager
Ann@smu.edu.sg	RHBL	2014_1	Creative Designer
Joslyn@smu.edu.sg	RHBL	2014_1	Quality Assurance
Jonathon@smu.edu.sg	RHBL	2014_1	System Architect
Immanuel@smu.edu.sg	RHBL	2014_1	Chief Engineer
Alma@smu.edu.sg	RHBL2	2014_2	Project Manager
Destiny@smu.edu.sg	RHBL2	2014_2	Creative Designer
Jayce@smu.edu.sg	RHBL2	2014_2	Quality Assurance
Julio@smu.edu.sg	RHBL2	2014_2	System Architect
Marcos@smu.edu.sg	RHBL2	2014_2	Chief Engineer
Alison@smu.edu.sg	RWSCM	2014_2	Project Manager
Annika@smu.edu.sg	RWSCM	2014_2	Creative Designer
Julie@smu.edu.sg	RWSCM	2014_2	Quality Assurance
Josh@smu.edu.sg	RWSCM	2014_2	System Architect
Luis@smu.edu.sg	RWSCM	2014_2	Chief Engineer
Alessandra@smu.edu.sg	SCBI	2014_1	Project Manager
Angie@smu.edu.sg	SCBI	2014_1	Creative Designer
Johanna@smu.edu.sg	SCBI	2014_1	Quality Assurance
Johnathon@smu.edu.sg	SCBI	2014_1	System Architect
Hugh@smu.edu.sg	SCBI	2014_1	Chief Engineer
Alissa@smu.edu.sg	SCE	2014_2	Project Manager
Ansley@smu.edu.sg	SCE	2014_2	Creative Designer
Juliet@smu.edu.sg	SCE	2014_2	Quality Assurance
Joshua@smu.edu.sg	SCE	2014_2	System Architect
Lukas@smu.edu.sg	SCE	2014_2	Chief Engineer
Abbigail@smu.edu.sg	SMITMA	2013_1	Project Manager
Alyssa@smu.edu.sg	SMITMA	2013_1	Creative Designer
Diane@smu.edu.sg	SMITMA	2013_1	Quality Assurance
Jaylon@smu.edu.sg	SMITMA	2013_1	System Architect
Justyn@smu.edu.sg	SMITMA	2013_1	Chief Engineer
Alex@smu.edu.sg	SMUAH	2014_1	Project Manager
Anika@smu.edu.sg	SMUAH	2014_1	Creative Designer
Jolie@smu.edu.sg	SMUAH	2014_1	Quality Assurance
Johnny@smu.edu.sg	SMUAH	2014_1	System Architect
Hugo@smu.edu.sg	SMUAH	2014_1	Chief Engineer
Alexandra@smu.edu.sg	SMUAH2	2014_1	Project Manager
Anita@smu.edu.sg	SMUAH2	2014_1	Creative Designer
Jordyn@smu.edu.sg	SMUAH2	2014_1	Quality Assurance
Jonah@smu.edu.sg	SMUAH2	2014_1	System Architect
Hunter@smu.edu.sg	SMUAH2	2014_1	Chief Engineer
Abbie@smu.edu.sg	SPSFS	2013_1	Project Manager
Alyson@smu.edu.sg	SPSFS	2013_1	Creative Designer
Diana@smu.edu.sg	SPSFS	2013_1	Quality Assurance
Jaylin@smu.edu.sg	SPSFS	2013_1	System Architect
Justus@smu.edu.sg	SPSFS	2013_1	Chief Engineer
Alina@smu.edu.sg	SSI	2014_1	Project Manager
Anne@smu.edu.sg	SSI	2014_1	Creative Designer
Juliana@smu.edu.sg	SSI	2014_1	Quality Assurance
Jose@smu.edu.sg	SSI	2014_1	System Architect
Luca@smu.edu.sg	SSI	2014_1	Chief Engineer
Alanis@smu.edu.sg	TML	2013_2	Project Manager
Angel@smu.edu.sg	TML	2013_2	Creative Designer
Eliza@smu.edu.sg	TML	2013_2	Quality Assurance
Joe@smu.edu.sg	TML	2013_2	System Architect
Herbert@smu.edu.sg	TML	2013_2	Chief Engineer
Alexandrea@smu.edu.sg	TTSHL	2014_1	Project Manager
Aniya@smu.edu.sg	TTSHL	2014_1	Creative Designer
Joselyn@smu.edu.sg	TTSHL	2014_1	Quality Assurance
Jonas@smu.edu.sg	TTSHL	2014_1	System Architect
Ian@smu.edu.sg	TTSHL	2014_1	Chief Engineer
Alexia@smu.edu.sg	UOBL	2014_1	Project Manager
Anjali@smu.edu.sg	UOBL	2014_1	Creative Designer
Josie@smu.edu.sg	UOBL	2014_1	Quality Assurance
Jonathan@smu.edu.sg	UOBL	2014_1	System Architect
Ignacio@smu.edu.sg	UOBL	2014_1	Chief Engineer
Allyssa@smu.edu.sg	UOBL2	2014_2	Project Manager
Destini@smu.edu.sg	UOBL2	2014_2	Creative Designer
Jay@smu.edu.sg	UOBL2	2014_2	Quality Assurance
Julien@smu.edu.sg	UOBL2	2014_2	System Architect
Marco@smu.edu.sg	UOBL2	2014_2	Chief Engineer
Abigail@smu.edu.sg	VISA	2013_1	Project Manager
Amani@smu.edu.sg	VISA	2013_1	Creative Designer
Dominique@smu.edu.sg	VISA	2013_1	Quality Assurance
Jean@smu.edu.sg	VISA	2013_1	System Architect
Kaden@smu.edu.sg	VISA	2013_1	Chief Engineer
Abigale@smu.edu.sg	VISAL	2013_1	Project Manager
Amara@smu.edu.sg	VISAL	2013_1	Creative Designer
Donna@smu.edu.sg	VISAL	2013_1	Quality Assurance
Jeff@smu.edu.sg	VISAL	2013_1	System Architect
Kadin@smu.edu.sg	VISAL	2013_1	Chief Engineer
Alayna@smu.edu.sg	VISAL2	2013_2	Project Manager
Angelica@smu.edu.sg	VISAL2	2013_2	Creative Designer
Joanna@smu.edu.sg	VISAL2	2013_2	Quality Assurance
Joey@smu.edu.sg	VISAL2	2013_2	System Architect
JimmySoh@smu.edu.sg	PSLove	2015_1	Project Manager
AliceAng@smu.edu.sg	PSLove	2015_1	Business Analyst
JohnSim@smu.edu.sg	PSLove	2015_1	Systems Analyst
TangMeng@smu.edu.sg	PSLove	2015_1	Developer
Balakrishnan@smu.edu.sg	6Sigma	2015_1	Project Manager
DamineMax@smu.edu.sg	6Sigma	2015_1	Developer
MinhTang@smu.edu.sg	6Sigma	2015_1	Systems Analyst
JesssicaHo@smu.edu.sg	6Sigma	2015_1	Developer
FanWeiliang@smu.edu.sg	6Sigma	2015_1	Lead Developer
TimothyLam@smu.edu.sg	Excellent	2015_1	Project Manager
AsherTan@smu.edu.sg	Excellent	2015_1	Developer
KennethYee@smu.edu.sg	Excellent	2015_1	Business Analyst
AdityaMah@smu.edu.sg	Excellent	2015_1	Lead Developer
